,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Toucheng,24.86,121.82,304.15,70,59,3.6,TW,1594570279
1,Busselton,-33.65,115.33,287.04,79,60,7.1,AU,1594570280
2,Bogoslovka,53.21,44.8,301.48,34,0,2.31,RU,1594570280
3,Hambantota,6.12,81.12,301.15,78,75,3.6,LK,1594570280
4,Upernavik,72.79,-56.15,278.75,83,99,4.37,GL,1594570254
5,Muravlenko,63.79,74.52,289.57,70,58,3.87,RU,1594570280
6,Aklavik,68.22,-135.01,282.15,93,75,2.1,CA,1594570280
7,Lüderitz,-26.65,15.16,291.15,59,0,3.6,NA,1594570280
8,Chui,-33.7,-53.46,285.71,56,31,3.15,UY,1594570281
9,Klaksvík,62.23,-6.59,284.15,93,100,3.6,FO,1594570281
10,Half Moon Bay,37.46,-122.43,294.26,87,75,2.01,US,1594570281
11,Albany,42.6,-73.97,302.15,51,75,5.7,US,1594570236
12,Qaanaaq,77.48,-69.36,280.81,60,76,1.0,GL,1594570281
13,Mar del Plata,-38.0,-57.56,282.15,42,0,8.2,AR,1594570079
14,Saint-Joseph,-21.37,55.62,293.15,82,34,2.1,RE,1594570281
15,Cape Town,-33.93,18.42,291.15,42,0,8.7,ZA,1594569867
16,Atuona,-9.8,-139.03,299.48,77,36,10.06,PF,1594570253
17,Hilo,19.73,-155.09,296.15,78,90,2.1,US,1594570244
18,Cabo San Lucas,22.89,-109.91,306.15,49,75,1.5,MX,1594570204
19,Margate,51.38,1.39,294.82,46,68,0.89,GB,1594570282
20,Lorengau,-2.02,147.27,300.82,77,87,2.06,PG,1594570282
21,Butaritari,3.07,172.79,301.01,80,73,6.99,KI,1594570282
22,Boddam,57.47,-1.78,289.82,62,67,5.1,GB,1594570282
23,Tommot,58.96,126.29,294.04,63,2,0.69,RU,1594570283
24,Yellowknife,62.46,-114.35,292.04,72,75,1.0,CA,1594570117
25,Bluff,-46.6,168.33,277.04,83,48,1.34,NZ,1594570283
26,Dikson,73.51,80.55,279.15,97,86,3.01,RU,1594570283
27,Houma,29.6,-90.72,307.59,74,1,2.1,US,1594570149
28,Namysłów,51.08,17.72,294.82,45,42,4.1,PL,1594570283
29,Saint Paul Harbor,57.79,-152.41,285.15,87,90,1.5,US,1594570283
30,Lavrentiya,65.58,-171.0,279.42,81,0,1.61,RU,1594570283
31,Pangnirtung,66.15,-65.71,281.76,70,97,1.79,CA,1594570283
32,Sturgeon Bay,44.83,-87.38,294.15,72,90,5.1,US,1594570283
33,Conceição do Araguaia,-8.26,-49.26,308.65,29,26,1.82,BR,1594570284
34,Liepāja,56.54,21.04,289.15,77,0,6.7,LV,1594570284
35,Vaini,-21.2,-175.2,295.15,83,40,5.1,TO,1594570284
36,Mataura,-46.19,168.86,277.04,83,72,1.34,NZ,1594570284
37,George Town,5.41,100.34,302.15,79,20,1.5,MY,1594570152
38,Mahébourg,-20.41,57.7,295.15,73,75,7.7,MU,1594570284
39,Talnakh,69.49,88.4,287.15,82,76,3.0,RU,1594570284
40,North Platte,41.12,-100.77,300.15,51,1,4.1,US,1594570285
41,Lompoc,34.64,-120.46,289.15,93,0,2.33,US,1594570219
42,Port Alfred,-33.59,26.89,289.06,47,0,8.56,ZA,1594570285
43,Hobart,-42.88,147.33,276.15,93,90,3.6,AU,1594570285
44,Maniitsoq,65.42,-52.9,281.53,74,74,5.27,GL,1594570285
45,Rikitea,-23.12,-134.97,294.75,70,0,8.12,PF,1594570285
46,Beyneu,45.32,55.2,307.33,15,0,6.98,KZ,1594570285
47,Sitka,57.05,-135.33,285.15,87,90,2.1,US,1594570285
48,Puerto Ayora,-0.74,-90.35,294.82,85,54,1.34,EC,1594570285
49,Ancud,-41.87,-73.82,282.04,93,81,1.5,CL,1594570286
50,Ushuaia,-54.8,-68.3,275.15,91,75,8.7,AR,1594570015
51,Lesnoy,57.62,63.08,293.66,68,36,2.28,RU,1594570286
52,Turan,16.07,108.22,302.15,83,20,1.0,VN,1594570286
53,Punta Arenas,-53.15,-70.92,275.93,80,20,6.2,CL,1594570286
54,Bundaberg,-24.85,152.35,290.93,82,90,2.6,AU,1594570286
55,Beringovskiy,63.05,179.32,281.99,89,92,3.43,RU,1594570286
56,Qasigiannguit,68.82,-51.19,282.15,70,69,3.1,GL,1594570287
57,Gerede,40.8,32.2,291.06,79,10,3.83,TR,1594570287
58,Rosaryville,38.76,-76.81,304.82,45,1,3.09,US,1594570287
59,Bambous Virieux,-20.34,57.76,295.37,73,75,7.7,MU,1594570287
60,Puerto Escondido,15.85,-97.07,303.15,66,75,1.5,MX,1594570287
61,Kashgar,39.45,75.98,301.15,23,20,1.0,CN,1594570287
62,Mandalgovi,45.76,106.27,292.44,57,100,1.07,MN,1594570287
63,Hermanus,-34.42,19.23,288.15,57,0,4.02,ZA,1594570287
64,Torbat-e Jām,35.24,60.62,300.57,16,0,5.69,IR,1594570287
65,Abu Samrah,35.3,37.18,304.94,29,0,8.23,SY,1594570288
66,Salalah,17.02,54.09,301.15,88,75,3.1,OM,1594570020
67,Mutsu,41.29,141.22,288.15,93,40,0.5,JP,1594570288
68,Acajutla,13.59,-89.83,301.15,61,0,1.67,SV,1594570051
69,Bandarbeyla,9.49,50.81,301.15,68,58,15.12,SO,1594570288
70,Esperance,-33.87,121.9,283.15,66,73,7.2,AU,1594569990
71,Kathu,7.92,98.33,302.04,94,40,1.0,TH,1594570289
72,Santiago del Estero,-27.8,-64.26,292.26,52,73,1.78,AR,1594570289
73,Rio Grande,-32.03,-52.1,287.15,82,75,3.6,BR,1594570289
74,Thompson,55.74,-97.86,291.15,77,40,2.6,CA,1594570289
75,Zhigansk,66.77,123.37,288.11,67,17,1.79,RU,1594570289
76,Departamento de Maldonado,-34.67,-54.92,283.71,71,46,4.6,UY,1594570289
77,Khatanga,71.97,102.5,284.51,87,100,7.12,RU,1594570289
78,Jamestown,42.1,-79.24,298.15,64,75,4.1,US,1594570289
79,Ust-Tsilma,65.44,52.15,289.37,71,66,5.78,RU,1594570289
80,Katsuura,35.13,140.3,293.71,94,75,5.1,JP,1594570290
81,Pevek,69.7,170.31,282.29,81,99,3.15,RU,1594570290
82,San Patricio,19.22,-104.7,304.15,74,40,3.1,MX,1594570290
83,Yulara,-25.24,130.99,281.15,68,0,3.6,AU,1594570290
84,Kavieng,-2.57,150.8,301.23,71,100,1.96,PG,1594570290
85,Tuktoyaktuk,69.45,-133.04,281.15,87,40,2.1,CA,1594570290
86,Dukat,62.55,155.55,283.07,85,47,0.52,RU,1594570290
87,Avarua,-21.21,-159.78,294.15,94,99,2.6,CK,1594570291
88,Wainwright,52.84,-110.86,289.37,84,61,6.83,CA,1594570291
89,Vostok,46.49,135.88,286.48,98,58,1.46,RU,1594570291
